1111111			000000
1111110			000000000000000000000000000000
1111101			04
11111001		3500
11111000		010000
11110111		08
11110110		FFFF
11110101		01
11110100		10
11110011		FFFFFF
11110010		05
11110001		50
11110000		20
11101111		31C0
11101110		02
11101101		3600
11101100		03
11101011		88
11101010		FEFFFF
11101001		09
11101000		0C
11100111		FDFF
11100110		0A
11100101		56
11100100		14
11100011		8D
11100010		FF
11100001		53
11100000		00000000
11011111		66
11011110		80
11011101		52
11011100		63
11011011		1C
11011010		5653
11011001		EB
11011000		3C
11010111		18
11010110		74
11010101		40
11010100		73
11010011		68
11010010		07
11010001		2E
11010000		020000
11001111		06
11001110		8A
11001101		E9
11001100		5B5E
11001011		B8
11001010		30
11001001		69
11001000		0000
11000111		58
11000110		81
11000101		2F
11000100		0FB6
11000011		C1
11000010		28
11000001		8B45
11000000		39
10111111		64
10111110		70
10111101		8B55
10111100		E8
10111011		24
10111010		6C
10111001		50E8
10111000		77
10110111		1F
10110110		0F84
10110101		C6
10110100		31
10110011		85C074
10110010		F7
10110001		57
10110000		D0
10101111		00
10101110		F6
10101101		00000000000000
101011001		6A00
101011000		C0
101010111		0D
101010110		61
101010101		15
101010100		8D45
101010011		E0
101010010		6A
101010001		C9
101010000		FF75
101001111		8B
101001110		43
101001101		83C40C
101001100		89
101001011		0C100000
101001010		7F7F
101001001		7405
101001000		C7
101000111		75
101000110		0E0E
101000101		3D
101000100		E4
101000011		83
101000010		5F5D
101000001		2C
101000000		F8
100111111		44
100111110		EC
100111101		65
100111100		0F
100111011		22
100111010		C745
100111001		48
100111000		85C075
100110111		6F
100110110		F4
100110101		0F85
100110100		8B4D
100110011		F0
100110010		8B5D
100110001		41
100110000		5F
100101111		46
100101110		38
100101101		59
100101100		78
100101011		D8
100101010		83EC
100101001		FF8D
100101000		5A
100100111		FB
100100110		72
100100101		C35589E557
100100100		65F4
100100011		45
100100010		FF83C4
100100001		85
100100000		6B
100011111		0808
100011110		85C00F
100011101		54
100011100		C8
100011011		8945
100011010		FA
100011001		6A01
100011000		34
100010111		5C5C
100010110		3B
100010101		4D
100010100		01000000
100010011		0B
100010010		0FB7
100010001		5D
100010000		42
100001111		67
100001110		62
100001101		FCFF
100001100		76
100001011		DC
100001010		84
100001001		53E8
100001000		0C10000089
100000111		837D
100000110		FC
100000101		0E
100000100		51
100000011		B0
100000010		030000
100000001		25
100000000		29
011111111		1C00
011111110		BA
011111101		45F0
011111100		F9
011111011		4C
011111010		16
011111001		85C0
011111000		33
011110111		C2
011110110		6E
011110101		82
011110100		6D
011110011		C3
011110010		83C410
011110001		0400
011110000		0800
011101111		60
011101110		4E
011101101		79
011101100		3E
011101011		F033
011101010		A1
011101001		6F6E
011101000		1E
011100111		EF
011100110		A8
011100101		C4
011100100		6572
011100011		F2
011100010		55
011100001		83F8
011100000		7F
011011111		C35589E5
011011110		CC
011011101		BC
011011100		EE
011011011		BE
011011010		B4
011011001		90
011011000		0068
011010111		47
011010110		2D
011010101		12
011010100		3A
011010011		A0
011010010		49
011010001		13
011010000		0074
011001111		11
011001110		FE
011001101		F3
011001100		7469
011001011		86
011001010		FF8B
011001001		D4
011001000		7D
011000111		4F
011000110		32
011000101		FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
011000100		BB
0110000111		3500E8
0110000110		0700
0110000101		5DC35589E557
0110000100		0100
0110000011		85DB
0110000010		E2
0110000001		F5
0110000000		2100
0101111111		FF83C40C
0101111110		21
0101111101		89C3
0101111100		E6
0101111011		BF
0101111010		8B4508
0101111001		A10C
0101111000		1B
0101110111		98
0101110110		EA
0101110101		94
0101110100		35
0101110011		5589E5
0101110010		7C
0101110001		B3
0101110000		36
0101101111		8955
0101101110		F1
0101101101		7E
0101101100		A4
0101101011		5B
0101101010		95
0101101001		0300
0101101000		37
0101100111		31D2
0101100110		8C
0101100101		??????????
0101100100		E7
0101100011		8B7D
