1111111			000000
1111110			000000000000000000000000000000
1111101			04
11111001		0000
11111000		FFFFFF
11110111		03
11110110		FDFF
11110101		08
11110100		02
11110011		010000
11110010		01
11110001		20
11110000		0C
11101111		FFFF
11101110		8D
11101101		FEFF
11101100		10
11101011		50
11101010		83C40C
11101001		53
11101000		68
11100111		31C0
11100110		05
11100101		40
11100100		88
11100011		06
11100010		14
11100001		24
11100000		00000000
11011111		66
11011110		18
11011101		56
11011100		A1
11011011		1C
11011010		0FB6
11011001		EB
11011000		80
11010111		73
11010110		28
11010101		52
11010100		09
11010011		B8
11010010		30
11010001		58
11010000		FEFFFF
11001111		63
11001110		8A
11001101		07
11001100		8B5D
11001011		74
11001010		0F
11001001		39
11001000		6A00
11000111		57
11000110		EC
11000101		31
11000100		8B45
11000011		5A
11000010		E9
11000001		8B55
11000000		89
10111111		44
10111110		C0
10111101		FCFF
10111100		81
10111011		6E
10111010		59
10111001		0FB7
10111000		6C
10110111		C7
10110110		5C5C
10110101		D0
10110100		70
10110011		85C075
10110010		46
10110001		8B
10110000		F0
10101111		6A
10101110		6D
10101101		00000000000000
101011001		5653
101011000		29
101010111		64
101010110		69
101010101		C1
101010100		FF75
101010011		83
101010010		F7
101010001		38
101010000		8945
101001111		C6
101001110		F8
101001101		83C410
101001100		21
101001011		01000000
101001010		0500
101001001		50E8
101001000		43
101000111		5F
101000110		FBFF
101000101		61
101000100		FF
101000011		72
101000010		0200
101000001		77
101000000		48
100111111		0D
100111110		75
100111101		D8
100111100		45
100111011		E0
100111010		85C0
100111001		34
100111000		85C074
100110111		78
100110110		E8
100110101		53E8
100110100		0A00
100110011		65
100110010		8B4D
100110001		3C
100110000		90
100101111		76
100101110		C2
100101101		54
100101100		6B
100101011		1B
100101010		5B5E
100101001		6A01
100101000		3D
100100111		84
100100110		E4
100100101		FFFFFFFFFF
100100100		C745
100100011		0A
100100010		8D65F4
100100001		6F
100100000		F4
100011111		0300
100011110		8B5D08
100011101		16
100011100		C3
100011011		0B00
100011010		0B
100011001		6572
100011000		55
100010111		0F85
100010110		33
100010101		15
100010100		0C100000
100010011		B0
100010010		0F84
100010001		42
100010000		C8
100001111		51
100001110		2C
100001101		8B7D
100001100		0E
100001011		F6
100001010		4C
100001001		45F0
100001000		5DC35589E5
100000111		83F8
100000110		41
100000101		4D
100000100		7C
100000011		3B
100000010		0B00E8
100000001		FC
100000000		A4
011111111		7405
011111110		DC
011111101		0400
011111100		22
011111011		5C
011111010		AC
011111001		837D
011111000		CC
011110111		5B
011110110		BA
011110101		5D
011110100		C9
011110011		4E
011110010		8B4508
011110001		FF35
011110000		8B75
011101111		FA
011101110		2E
011101101		8C
011101100		47
011101011		6689
011101010		FB
011101001		0900
011101000		A0
011100111		D3
011100110		25
011100101		9C
011100100		83C4
011100011		C4
011100010		00
011100001		89C3
011100000		98
011011111		C35589E5
011011110		85
011011101		60
011011100		FE
011011011		A8
011011010		49
011011001		67
011011000		8D45
011010111		D1
011010110		F9
011010101		79
011010100		11
011010011		EA
011010010		95
011010001		F2
011010000		FCC9
011001111		EE
011001110		BC
011001101		CA
011001100		C705
011001011		B4
